Ligne;Catégorie;Module;Page;Description tâche;Type;Qui;Estimation;Temps passé;Reste à faire
52;Backoffice;Gestion Déclinaison;declinaisonService.js;Gestion variantes et déclinaisons;Intégration;ETU003110;22;20;2
53;Backoffice;Gestion Déclinaison;combinationService.js;Association produit et combinaison;Base;ETU003110;24;22;2
54;Backoffice;Gestion Employé;employeeService.js;Liste employés et récupération données;Affichage;ETU003110;18;16;2
55;Backoffice;Gestion Employé;employeeService.js;Gestion droits et connexion employé;Metier;ETU003110;20;18;2
56;Backoffice;Gestion Image;imageService.js;Import et synchronisation images produit;Intégration;ETU003110;22;20;2
57;Backoffice;Import global;ImportAllView;Lancement import complet multi-source;Intégration;ETU003110;26;24;2
58;Backoffice;Import images;importIMage.js;Traitement lot images et erreurs;Metier;ETU003110;20;18;2
59;Backoffice;Réinitialisation;resetService.js;Suppression données de test;Base;ETU003110;18;16;2
60;Frontoffice;Adresse;AddressView;Liste adresses client;Affichage;ETU003110;16;14;2
61;Frontoffice;Adresse;AddressCreateView;Ajout nouvelle adresse client;Metier;ETU003110;20;18;2
62;Frontoffice;Panier;CartView;Affichage panier non commandé;Affichage;ETU003110;18;16;2
63;Frontoffice;Panier;CartView;Mise à jour quantité et suppression ligne;Metier;ETU003110;24;22;2
64;Frontoffice;Commande;OrderListView;Liste commandes client par compte;Affichage;ETU003110;18;16;2
65;Frontoffice;Commande;OrderDetailView;Détail commande et états;Intégration;ETU003110;20;18;2
66;Frontoffice;Utilisateurs;LoginCustomerView;Connexion client et session locale;Intégration;ETU003110;18;16;2
67;Frontoffice;Utilisateurs;ListLoginView;Liste comptes utilisateurs FO;Affichage;ETU003110;16;14;2
68;Frontoffice;Utilisateurs;ListLoginView;Gestion utilisateur guest;Metier;ETU003110;14;12;2
